-1806.40,-1910.80,-2715.40,-2467.00,-3145.60,-2832.40
-1599.40,-2627.20,-1763.20,-3126.60,-3753.20,-4420.00
-2013.40,-1677.60,-2497.40,-2721.80,-1394.40,-885.00
-1969.00,-2270.00,-2053.00,-1604.80,-2015.20,-1195.60
-2422.00,-1515.00,-1298.40,-1831.20,-1272.40,-919.80
-1057.40,-1021.40,-1118.00,-2468.00,-156.00,-288.80
-1097.20,-801.80,-598.60,-974.20,-98.00,-93.80
-976.40,-926.40,-815.80,-201.40,-85.60,-431.40
-1106.20,-752.00,-848.80,-189.20,-86.20,-81.60
-996.40,-797.20,-1266.00,-510.00,-73.60,-203.80
-908.60,-1092.40,-374.60,-442.60,-93.20,-89.40
-910.40,-897.00,-575.00,-178.40,-79.40,-95.60
-902.60,-805.40,-1764.80,-127.20,-91.40,-169.40
-827.20,-1034.60,-426.40,-120.40,-86.80,-90.40
-980.60,-860.20,-573.60,-125.60,-82.80,-100.40
-852.20,-683.60,-352.60,-116.20,-91.60,-87.40
-912.00,-1171.20,-1174.00,-109.00,-85.00,-96.20
-1059.60,-747.00,-512.80,-134.20,-83.60,-87.80
-1002.20,-636.60,-2148.80,-92.00,-82.20,-83.40
-1158.00,-692.20,-304.80,-82.60,-91.60,-90.80
